Apartment,Cost,CostHigh,Residents,Miles2Campus,WalkMinutes,ParkingStalls,Deposit,UtilityDeposit,FloorPlans,Gender,Latitude,Longitude,Address,Phone,Website,Description
ABBY LANE MANOR,1035,1060,42,0.745647284,16,38,100,0,3,F,43.8169418,-111.7952062,437 S 4TH W,(208) 359-3687,www.abbylaneapartments.com,"We are a small women's complex offering private rooms and quaint living.  Many students enjoy our advantages enough that they stay with us until graduation.  We are sure you would like staying with us!  We offer free parking, off-track storage and wireless internet- NOW with cheaper rent prices!"
ABODE DUPLEX,980,980,6,0.186411821,4,3,100,0,1,M,43.8218153,-111.7771495,224 E 2ND S,(912) 399-1107,sites.google.com/site/robertspencerbrown/abodehouse,"This cozy little apartment is located only one block from campus. There are a lot of freebies for the price. All utilities are included, there is a free-to-use, in-apartment washer and dryer, free WiFi, and free covered parking. When you sign for two semesters at a time, you receive a $100 discount. Join us now for a great ""small complex"" feel!"
ABRI APARTMENTS - MEN,1420,1445,138,0.310686368,8,216,150,0,3,M,43.8239342,-111.7773062,220 E 1ST S,2084177223,www.liveabri.com,"24 hour special $100 off! Look no further than the Abri, Rexburg's newest student housing community. Currently leasing women's spots for fall '17, & men's for winter '18. From upscale, modern finishes, to our state-of-the-art fitness center, to our courtyard with firepit, Abri is the place to be! We offer both standard & townhome style residences."
ABRI APARTMENTS - WOMEN,1445,1495,150,0.310686368,8,216,150,0,3,F,43.8239342,-111.7773062,220 E 1ST S,(208) 417-7223,www.liveabri.com,"$100 OFF SPECIAL! Look no further than the Abri, Rexburg's newest student housing community. Currently leasing women's spots for fall '17, & men's for winter '18. From upscale, modern finishes, to our state-of-the-art fitness center, to our courtyard with firepit, Abri is the place to be! We offer both standard & townhome style residences."
ALBION APARTMENT,1062.5,1150,5,0.186411821,4,4,100,0,3,F,43.8218385,-111.7906463,231 W 2ND S,(801) 856-0732,,"Cute, newly painted basement apartment across the street from Porter Park and 1.5 blocks from the Hart building. Utilities and Internet are free. Washer and Dryer included in the Apartment. There are a total of 3 bedrooms;1 private room and 2 shared rooms. The apartment is shared by 5 girls. Call soon, our rooms go fast. Thank you for your interest. "
ALEXANDER APARTMENT,972.5,1115,22,0.434960916,8,18,100,0,10,F,43.8197811,-111.7918951,276 W 3RD S,208-995-8543,www.alexanderapartments.wordpress.com,We are also signing for Fall and Winter 2017. Get $25 off per semester for signing 2 consecutive semesters. No application fee or parking fee and get $40 in quarters for laundry each semester.
ALLDREDGE HOUSE ,1045,1095,8,0.186411821,5,8,150,0,3,F,43.82073,-111.780478,243 S 1ST E ,208-206-4697,,Hurry quick! Come make ALLDREDGE HOUSE your home away from home! Located directly across the street from the Clarke and Kirkham Buildings and only a few blocks away from down town. Great ward with the guys right next door!
ALLEN RIDGE APARTMENTS,890,890,17,0.310686368,6,9,100,0,1,M,43.824663,-111.7835934,57 S CENTER ST,(801) 864-1708,allenridge.blogspot.com,"The best kept housing secret at BYU-Idaho. Small complex (only 17 tenants), but large living areas and rooms.  Private, but in the best location in town - central to campus, shopping, and great activities.  Best of all, a great ward!"
ALLEN'S SUNRISE VILLAGE - MEN,1000,1075,138,0.062137274,1,133,100,0,3,M,43.821866,-111.7852097,48 W 2ND S,356-3995,www.sunrisevillageapts.com,"Allen's Sunrise Village offers housing for both men and women! We are well-known for our friendliness,low prices,great location,fantastically reliable OPTIX internet,friendly residents and amazing managers. You'll love being in the same ward as the Sunrise Village women!  We would love to have you come and live with us and find out why everyone loves Sunrise Village. www.SunriseVillageApts.com"
ALLEN'S SUNRISE VILLAGE - WOMEN,1000,1075,144,0.062137274,1,133,100,0,3,F,43.82186,-111.785197,48 W 2ND S ,208-356-3995,www.sunrisevillageapts.com," We offer housing for both men and women! We are well-known for our friendliness, new modern remodel, low prices, great location, our fantastically reliable OPTIX internet and amazing managers. You'll love having all Sunrise residents in your ward!  Now offering Unlimited Laundry each semester for $25!  We would love to have live with us and find out why everyone loves to live at Sunrise Village. "
ALPINE CHALET,999,999,252,0.434960916,10,111,75,0,1,M,43.8165761,-111.7895659,460 S 2ND W,(208) 356-9282,www.rexburghousing.com,"Alpine Chalet is a great place to live!  It is close to campus and surrounded by many BYUI housing complexes.  It has an amazing pool, hot tub, and weight room. Not to mention, we added 2nd fridges and smart TVs to all of our apartments! There is an outdoor gas fire pit and built-in barbecue area that is great for hanging out with friends or studying."
ALTA VIEW APARTMENTS,895,895,26,0.372823642,7,30,80,0,19,M,43.8218751,-111.7938578,346 W 2ND S,208-360-0097,www.altaviewapts.com,"Make Alta View your home next semester. Alta View Apartments is BYUI mens approved housing. Newly remodeled, comfortable, affordable housing. Free satellite television, Optix high-speed internet, great ward, on-site laundry, tons of parking, and located next to Porter Park. Earn $25 for each signed referral. Call us today at 208-360-0097 for questions or to schedule a tour!"
AMERICAN AVENUE - MEN,1202.5,1380,59,0.248549095,6,0,100,0,3,M,43.822203,-111.780098,151 S 1ST E,2083565097,myamericanavenue.com,"American Avenue, BYU Idaho Approved Men and Women's housing, is less than a 1/2 block from campus. We have ample parking, onsite FREE laundry, Fiber Optix high speed internet, 32"" flat screen SONY TV's, heated wood floors, and various layouts. We would love for you to come take a tour!Bring a friend and get $100 per friend you bring that signs. Unlimited friend credits!"
AMERICAN AVENUE - WOMEN,1050,1075,165,0.372823642,7,0,100,0,6,F,43.8228628,-111.7807632,151 S 1ST E,(208) 356-5097,myamericanavenue.com,"American Avenue, BYU Idaho Approved Men and Women's housing, is less than a 1/2 block from campus. We have ample parking, FREE onsite laundry, Fiber Optix highspeed internet, 32"" flat screen SONY TV's, heated wood floors, and various layouts. We would love for you to come take a tour!Bring a friend and get $100 per friend that you bring. Unlimited friend credits!"
ARBOR COVE,1018.333333,1045,97,0.186411821,4,60,75,0,6,M,43.8214093,-111.7895566,220 S 2ND W,(208) 356-8988,,"Arbor Cove is truly a one of a kind community. Each apartment has a unique layout with options for large bedrooms, private bathrooms, and large spacious living areas. We are one block from campus, right next to Porter Park, and within walking distance to the grocery store. You can also spend time in our field playing volleyball, soccer, or having a BBQ with your friends!"
ARCADIA APARTMENTS,995,995,41,0.372823642,8,30,100,0,6,M,43.8177393,-111.7886609,138 VIKING DR,208-881-2935,www.arcadiarexburg.com,"Arcadia Apartments is located just across from the BYU Idaho Center, literally steps from campus. Arcadia is priced at just $1045 for the semester. Arcadia offers clean, comfortable apartments and a very social atmosphere.  Awesome amenities include World Gym Membership, Sand Volleyball, Basketball Court, Apple Tv, and so much more.  Call/text us at 208-881-2935 for info or to schedule a tour! "
ARPAD,1150,1225,67,0.248549095,5,27,150,0,6,M,43.820138,-111.788876,271 S 2ND W,208-881-5026,www.arpadhousing.com,"Ideal Location. Across the street from Taco Time, and close to the Hart (state of the art gym facility) Building.  "
ASPEN VILLAGE - MEN ,1100,1200,144,0.372823642,6,80,75,0,20,M,43.8146367,-111.7780764,545 S 2ND E ,208-356-7701,www.aspenvillageapartments.com,"Great management. Price. Location. Pool. Semester after semester, students tell us this is why they love and remain at Aspen Village! Located across from campus and the temple we offer great views, FREE parking, acres of open land and a brand new MOVIE THEATER in our huge lounge!"
ASPEN VILLAGE - WOMEN,900,1000,210,0.372823642,6,84,75,0,10,F,43.814649,-111.778083,545 S 2ND E,(208) 356-7701,www.aspenvillageapartments.com,"Great management. Price. Location. Pool. Semester after semester, students tell us this is why they love and remain at Aspen Village! Located across from campus and the temple we offer great views, FREE parking, NEW ping pong tables and a brand new MOVIE THEATER in our huge lounge!"
AT THE GROVE,NA,NA,6,0.186411821,3,5,0,0,1,F,43.8185731,-111.7766137,349 HARVARD AVE,801-319-4334,https://www.facebook.com/atthegroveapts/,"At The Grove is a spacious basement apartment, located just a stone's throw away from the east side of campus, and around the corner from the temple.Here you will enjoy the feeling of ""home,"" with onsite *free* laundry, great managers, a great ward, and a large backyard. You'll feel right at home here at At The Grove!"
AUTUMN WINDS,1345,1345,96,0.434960916,9,96,75,0,1,F,43.8156171,-111.7884885,160 W 5TH S,(208) 356-0821,www.rexburghousing.com,"Autumn Winds offers Private rooms with only 4 people per apartment! There are two bathrooms in each apartment and 4 sinks, so you will only share a bathroom with one other person, and have your own vanity area. We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities. Space at Autumn Winds goes quickly, so reserve your spot today!"
AVONLEA APARTMENTS,1222,1369,60,0.248549095,5,54,150,0,3,F,43.8197584,-111.788829,175 W 3RD S,(208) 359-0920,www.bestnesthousing.com/avonlea.php,"Avonlea prides itself in being one of the most sought-after complexes in Rexburg. Avonlea Apartments features beautiful grounds, a convenient location, private and shared rooms, a free washer and dryer in each apartment, free parking, and a homey feel. Visit our website, www.bestnesthousing.com for a virtual tour or stop by during office hours. "
