"","Var1","Freq"
"1","Alachua",38
"2","Baker",3
"3","Bay",223
"4","Bradford",8
"5","Brevard",9
"6","Broward",1
"7","Calhoun",11
"8","Charlotte",25
"9","Citrus",14
"10","Clay",28
"11","Collier",479
"12","Columbia",7
"13","DeSoto",1
"14","Dixie",1
"15","Duval",32
"16","Escambia",5
"17","Flagler",35
"18","Franklin",174
"19","Gadsden",22
"20","Gilchrist",1
"21","Glades",4
"22","Gulf",134
"23","Hamilton",8
"24","Hardee",4
"25","Hendry",6
"26","Hernando",37
"27","Highlands",138
"28","Hillsborough",6
"29","Indian River",1
"30","Jackson",5
"31","Jefferson",14
"32","Lake",555
"33","Lee",68
"34","Leon",246
"35","Levy",58
"36","Liberty",12
"37","Madison",6
"38","Manatee",3
"39","Marion",554
"40","Miami-Dade",2
"41","Nassau",2
"42","Okaloosa",446
"43","Orange",254
"44","Osceola",41
"45","Outside of Florida",2
"46","Palm Beach",3
"47","Pasco",74
"48","Pinellas",1
"49","Polk",21
"50","Putnam",126
"51","Santa Rosa",855
"52","Sarasota",4
"53","Seminole",439
"54","St. Johns",56
"55","Sumter",11
"56","Suwannee",3
"57","Taylor",11
"58","Union",1
"59","Volusia",408
"60","Wakulla",186
"61","Walton",106
"62","Washington",7
