"","Var1","Freq"
"1","Alachua",41
"2","Baker",4
"3","Bay",227
"4","Bradford",10
"5","Brevard",10
"6","Broward",1
"7","Calhoun",12
"8","Charlotte",26
"9","Citrus",15
"10","Clay",29
"11","Collier",505
"12","Columbia",7
"13","DeSoto",1
"14","Dixie",1
"15","Duval",32
"16","Escambia",5
"17","Flagler",36
"18","Franklin",182
"19","Gadsden",26
"20","Gilchrist",1
"21","Glades",5
"22","Gulf",134
"23","Hamilton",8
"24","Hardee",4
"25","Hendry",7
"26","Hernando",38
"27","Highlands",139
"28","Hillsborough",7
"29","Indian River",1
"30","Jackson",5
"31","Jefferson",14
"32","Lake",577
"33","Lee",68
"34","Leon",262
"35","Levy",58
"36","Liberty",12
"37","Madison",7
"38","Manatee",3
"39","Marion",573
"40","Miami-Dade",2
"41","Nassau",2
"42","Okaloosa",454
"43","Orange",266
"44","Osceola",41
"45","Outside of Florida",2
"46","Palm Beach",3
"47","Pasco",75
"48","Pinellas",1
"49","Polk",21
"50","Putnam",128
"51","Santa Rosa",871
"52","Sarasota",4
"53","Seminole",456
"54","St. Johns",56
"55","Sumter",11
"56","Suwannee",3
"57","Taylor",11
"58","Union",1
"59","Volusia",426
"60","Wakulla",189
"61","Walton",106
"62","Washington",8
