Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IA,2016,"7         ",Male,,Left-Handed,167,28,159,1,Other,20,0.221,0.531,Other,166,594,1000,102,582,133,28,"Right foot",100,110,"Index finger",April,Summer,Yes,Yes,Other,"Energy drink",Art,6,13,4,"Yes - broadband connection","In person",0,0,75,12,0,45,80,100,40,20,120,100,200,135,Some,Other,"Rap/Hip hop",Invisibility,Rich,"Sports person",Environment
USA,NM,2011,"12        ",Male,17,Right-Handed,174,23,175,1,Car,15,0.234,35,Soccer,856,861,348,,187,134,25,"Left foot",65,60,"Index finger",February,Summer,No,No,Pizza/Pasta,Water,History,5,4,4,"Yes - dial-up connection","In person",50,60,12,0,1,2,10,0,0.5,1,0.5,0.5,60,5,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
USA,NC,2013,"6         ",Female,12,Right-Handed,153,26,174,2,Bus,"20 ",.395,41,Other,76,56,67,100,999,1000,24.5,"Right foot",75,80,"Index finger",July,Summer,Yes,No,Meat,Water,,10,11,5,"Yes - other",E-mail,20,22,2,1,2,3,4,6,3,1,2,8,0,1,"A lot","Graduate degree",Pop,Telepathy,Rich,"Religious figure","Wildlife, animals"
USA,GU,2014,"10        ",Female,16,Right-Handed,156,23,152,2,Bus,10,0.652,49,None,1000,1000,1000,1000,203,2051,,,23,65,"Same length",December,Summer,No,No,Vegetables,Water,English,8,9,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",2,2,10,3,2,2,2,2,1,4,3,3,0,2,None,"Some college",Classical,Invisibility,Healthy,Friend,"International aid"
USA,OH,2012,"7         ",Male,13,Right-Handed,68,29,71,1,Car,20,.594,50,Basketball,900,900,900,900,300,100,28,"Right foot",90,82,"Index finger",March,Summer,No,No,Pizza/Pasta,"Sports drink",Art,7,10,2,"Yes - broadband connection","In person",15,30,24,0,4,25,24,1,1,2,1,8,0,1,"Very little","Undergraduate degree","Rap/Hip hop","Freeze time",Happy,,"International aid"
USA,CA,2015,"6         ",Female,11,Right-Handed,137,22,136,1,Car,5,,,Gymnastics,,,,,,,22,"Same length",60,70,"Ring finger",February,Summer,Yes,No,Pizza/Pasta,Water,Music,"8 ",,,,,,,,,,,,,,,,,,,,,,,,,
USA,MA,2017,"6         ",Male,12,Right-Handed,148,22,149,2,Walk,5,0.333,34,Soccer,200,150,0,300,999,1500,23,"Left foot",65,62,,February,Spring,No,No,Meat,Water,Other,8.5,10,7,"Yes - broadband connection","In person",1,1,3,0,12.5,14,4,10,7,0,45,2,0.5,0.5,Some,"Undergraduate degree",Other,Fly,Happy,"Sports person",Health
USA,PA,2016,"12        ",Male,18,Right-Handed,182.9,25.5,182.9,1,Car,6,304.8,11045,Basketball,732,789,624,778,897,997,26.5,"Left foot",80,84,"Ring finger",August,Winter,No,No,Meat,Water,"Mathematics and statistics",6,9,6,"Yes - broadband connection","Text messaging",5,30,0,32,15,6,3,36,7,3,19,5,0,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Musician or singer",Environment
USA,IA,2017,"7         ",Male,13,Right-Handed,170.5,24,174,1,Car,12,0.35,44,Cycling,1000,503,1000,283,123,1000,26,"Left foot",9,9,"Same length",December,Summer,Yes,No,Meat,Water,Science,"8 ",4,,"Yes - other","Text messaging",1,0,2,0,,2,2,,,,,,,,,,,,,,
USA,KS,2017,"12        ",Female,17,Right-Handed,160,9,159,1,Car,20,.44,44,Dancing,1000,1000,1000,500,1000,1000,9,"Same length",3.3,3,"Index finger",May,Fall,No,No,"Rice/Noodle dishes",Coffee,Art,6,8,4,"Yes - broadband connection","Cell phone",20,200,2,0,14,2,5,0,2,3,5,1,0,1,"A lot","Graduate degree",Other,Fly,Rich,Other,Environment
