Year, Trim, Mileage, Price, Website
2007, LS, 84741, 2450, KSL
2007, LS, 154500, 3000, KSL
2005, not specified, 229917, 1995, KSL
2007, SVM, 104228, 3731, KSL
2004, LS, 139000, 1990, KSL
2004, LS, 149000, 1850, KSL
2007, LS, 159000, 2200, KSL
2005, LS, 112626, 4369, KSL
2004, Base, 131518, 1999, KSL
2007, LS, 93335, 1995, KSL
2007, not specified, 123144, 2995, KSL
2007, LS, 145707, 1800, KSL
2007, SVM, 118441, 2000, KSL
2007, LS, 116416, 2500, KSL
2007, LT, 167000, 1700, KSL
2007, not specified, 135160, 1995, KSL
2005, LS, 92000, 2450, KSL
2007, LS, 88660, 3195, KSL
2007, LS, 100700, 3000, KSL
2006, LS, 150000, 1500, KSL
